content,annotation
 Get fucking real dude.,1
 She is as dirty as they come  and that crook Rengel  the Dems are so fucking corrupt it's a joke. Make Republicans look like  ...,1
 why did you fuck it up. I could do it all day too. Let's do it when you have an hour. Ping me later to sched writing a book here.,1
 Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.,1
 WTF are you talking about Men? No men thats not a menage  that's just gay.,1
 Ill save you the trouble sister. Here comes a big ol fuck France block coming your way here on the twitter.,1
 Im dead serious.Real athletes never cheat don't even have the appearance of at his level. Fuck him dude seriously  I think he did,1
 ...go absolutely insane.hate to be the bearer of bad news..LoL..dont shoot the messenger (cause we all know you bought that pistol,1
 Lmao  im watching the same thing ahaha. The gay guy is hilarious! \Dede having a good day and I dont want anyone to mess it up.\,1
 LOL  no he said  What do you call a jail cell to a gay guy? Paradise! ahaha.,1
 truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's,1
 Shakespeare nerd!,1
 you are SUCH a fucking dork,1
 Heh. Fuck 'em WHERE?!?,1
 damn it i totally forgot that one!,1
 wow  damn I would have been pissed @ that...,1
 nigga u geigh lmao! fuck yo finals beeeeeitch,1
 that sucks :(,1
 read that this morning. my fav is how they just straight up say \cum shots\,1
 Unibroue 17 !!!! Another damn good Unibroue,1
 damn your evil 60 minute IPA beckoning me from the fridge right now...,1
 It did  then my fucking dad turned it off. I just don't think it likes your movies. I was tryin to watch Nanny Diaries.,1
 it pretty much is a fuck you card..,1
 that karma is a bitch  HUH,1
 don't get too fat or you'll turn into a boomer,1
 the hormones are worse for guys.  I cant tell you how much I truly hate the thoughts that go through my head.,1
 except for joe jonas the ass munch who broke up w/our tyler via phone..kinda like doing via text - what kind of a-hole does that?,1
 man that rly sucks. I for 1 am positive that all will work out. You're a bright dude... pretty cool 2 if I don't say so myself.,1
 hard to kick ass yourself with slippers on?  On it.,1
 Thats pretty damn awesome! Very smart :) @Aaronage Sure!,1
 freak'n awesome. so far loving 4.5. the browser is fantastic. and finally video  pretty cool,1
 Damn  that sounds good...,1
 they should have a wii loser..that way you can compete with your wii friends.,1
 @markmancao haha. i love it! gay nights for all!,1
 that's awesome! you're pretty damn good!,1
 Faggoty fag fag. Gay secks man blowjob. Settle down.,1
